Incident_ID,Audio_Event,PDF_Doc_Type,Image_Objects,Video_Event,Text_Crime_Type,Severity,Sources_Available,Modality_Count,AI_Summary
INC_001,Unknown incident,Training Proposal,none (0.99),Normal activity,Shooting,High,Audio + PDF + Image + Video + Text,5,A multimodal crime incident report is categorized as a shooting.
INC_002,Robbery / theft,Training Proposal,2 smokes (0.60),Normal walking,Shooting,High,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_003,Unknown incident,Policy Document,3 bicycles (0.43),Normal walking,Law Enforcement / Policing,Low,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_004,Shooting / gunfire,Lesson Plan,"fire, smoke (0.96)",Loitering,Law Enforcement / Policing,High,Audio + PDF + Image + Video + Text,5,"A report of a shooting / gunfire incident in the United States, a Loitering incident, and a Shooting / Gunfire incident."
INC_005,Assault / fighting,Training Proposal,fire (0.97),Loitering,Law Enforcement / Policing,High,Audio + PDF + Image + Video + Text,5,The report provides a comprehensive overview of the various crime incidents in the United States.
INC_006,Assault / fighting,Training Proposal,fire (0.99),Loitering,Law Enforcement / Policing,High,Audio + PDF + Image + Video + Text,5,The report provides a comprehensive overview of the various crime incidents in the United States.
INC_007,Unknown incident,Training Proposal,"microwave, bowl (0.50)",Loitering,Robbery / Theft,Medium,Audio + PDF + Image + Video + Text,5,A report of a robbery and theft in the United States.
INC_008,Road accident / collision,Lesson Plan,none (0.01),Loitering,Assault / Violence,Medium,Audio + PDF + Image + Video + Text,5,"The report provides a comprehensive overview of the various types of crime in the United States. The report also provides information on the types of traffic accidents, road accidents, and collisions."
INC_009,Road accident / collision,Training Proposal,"3 fires, smoke (0.86)",Normal activity,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,"A report of a road accident / collision in the United States, involving 3 fires, smoke (0.86) and a normal activity."
INC_010,Road accident / collision,Training Proposal,"fire, smoke, person (0.72)",Loitering,Drug Crime,Medium,Audio + PDF + Image + Video + Text,5,"A report of a road accident / collision, a drug trafficking incident, and a trafficking text crime."
INC_011,Road accident / collision,Training Proposal,"fire, person, truck (0.60)",Loitering,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a road accident / collision in the United States.
