Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence_Score
IMG_001,General Scene,none detected,none,,0.99
IMG_002,Fire Scene,2 smokes,2 smoke plumes,,0.6
IMG_003,Vehicle Accident,3 bicycles,3 bicycles,,0.43
IMG_004,Vehicle Accident,"fire, smoke","1 fire region, 1 smoke plume",,0.96
IMG_005,Fire Scene,fire,1 fire region,,0.97
IMG_006,Fire Scene,fire,1 fire region,fire,0.99
IMG_007,General Scene,"microwave, bowl","1 microwave, 1 bowl",,0.5
IMG_008,Fire Scene,none detected,none,,0.01
IMG_009,Fire Scene,"3 fires, smoke","3 fire regions, 1 smoke plume",,0.86
IMG_010,Fire Scene,"fire, smoke, person","1 fire region, 1 smoke plume, 1 person",Mo EAST ZAY Cou:,0.72
IMG_011,Fire Scene,"fire, person, truck","1 fire region, 1 person, 1 vehicle",,0.6
IMG_012,Fire Scene,"3 fires, 2 persons","3 fire regions, 2 persons","ee, ree 4% ie ee BA) mS) re cna: tf }} » — i",0.66
IMG_013,Fire Scene,"fire, smoke","1 fire region, 1 smoke plume",,0.74
IMG_014,Fire Scene,"fire, smoke, traffic light","1 fire region, 1 smoke plume, 1 traffic light",smoke ¥v,0.77
IMG_015,Fire Scene,"fire, cat","1 fire region, 1 cat",,0.72
IMG_016,Fire Scene,"fire, person","1 fire region, 1 person",,0.45
IMG_017,Fire Scene,"fire, 3 smokes","1 fire region, 3 smoke plumes",,0.95
IMG_018,Fire Scene,none detected,none,,0.03
IMG_019,Vehicle Accident,"chair, 2 tvs, traffic light","1 chair, 2 tvs, 1 traffic light",,0.39
IMG_020,Vehicle Accident,bus,1 vehicle,,0.4
IMG_021,Vehicle Accident,"fire, 2 smokes","1 fire region, 2 smoke plumes",,0.35
IMG_022,Fire Scene,6 fires,6 fire regions,,0.97
IMG_023,Vehicle Accident,"3 cars, truck","3 vehicles, 1 vehicle",,0.58
IMG_024,General Scene,"2 dining tables, chair","2 dining tables, 1 chair",,0.38
IMG_025,Fire Scene,"fire, person, 3 chairs, 3 dining tables, clock","1 fire region, 1 person, 3 chairs, 3 dining tables, 1 clock",,0.52
IMG_026,Fire Scene,"fire, smoke, 4 persons","1 fire region, 1 smoke plume, 4 persons",,0.61
IMG_027,General Scene,tv,1 tv,,0.83
IMG_028,Public Disturbance,2 persons,2 persons,,0.92
IMG_029,Fire Scene,"fire, smoke, 3 persons","1 fire region, 1 smoke plume, 3 persons",| smoke,0.61
IMG_030,Fire Scene,fire,1 fire region,,0.35
IMG_031,Fire Scene,"fire, vase","1 fire region, 1 vase",,0.89
IMG_032,Fire Scene,"fire, smoke","1 fire region, 1 smoke plume",,0.94
IMG_033,Fire Scene,"fire, 2 smokes, tv","1 fire region, 2 smoke plumes, 1 tv",,0.82
IMG_034,General Scene,none detected,none,“EN,0.11
IMG_035,Fire Scene,"smoke, 2 persons, 4 cars, truck","1 smoke plume, 2 persons, 4 vehicles, 1 vehicle",,0.42
IMG_036,Fire Scene,3 fires,3 fire regions,,0.95
IMG_037,Fire Scene,smoke,1 smoke plume,,0.38
IMG_038,Fire Scene,fire,1 fire region,,0.96
IMG_039,Vehicle Accident,"2 fires, smoke","2 fire regions, 1 smoke plume",,0.46
IMG_040,Fire Scene,"2 fires, 2 smokes","2 fire regions, 2 smoke plumes",,0.93
IMG_041,Fire Scene,"fire, person, horse","1 fire region, 1 person, 1 horse",,0.59
IMG_042,Vehicle Accident,none detected,none,BV Fao e Esposende combateram as chamas em Curvos numa carpintaria,0.03
IMG_043,Fire Scene,"fire, bus","1 fire region, 1 vehicle",,0.68
IMG_044,Vehicle Accident,"fire, 2 smokes","1 fire region, 2 smoke plumes",| xinmin.cn’ F) + a ey),0.97
IMG_045,Public Disturbance,"3 persons, bench, 6 bicycles","3 persons, 1 bench, 6 bicycles",,0.59
IMG_046,Vehicle Accident,none detected,none,,0.08
IMG_047,Fire Scene,"fire, 6 persons","1 fire region, 6 persons",,1.0
IMG_048,Fire Scene,"fire, person, fire hydrant","1 fire region, 1 person, 1 fire hydrant",,0.96
IMG_049,Surveillance Scene,person,1 person,,0.72
IMG_050,Fire Scene,"smoke, car","1 smoke plume, 1 vehicle",,0.3
IMG_051,Fire Scene,"smoke, person, car, truck","1 smoke plume, 1 person, 1 vehicle, 1 vehicle",,0.8
IMG_052,Fire Scene,"fire, 2 persons","1 fire region, 2 persons",,0.53
IMG_053,Vehicle Accident,"2 persons, 2 cars, bus, truck, bicycle","2 persons, 2 vehicles, 1 vehicle, 1 vehicle, 1 bicycle",,0.48
IMG_054,Fire Scene,fire,1 fire region,fire,0.97
IMG_055,Fire Scene,"fire, smoke, car, truck","1 fire region, 1 smoke plume, 1 vehicle, 1 vehicle",,0.64
IMG_056,Fire Scene,fire,1 fire region,,0.55
IMG_057,Fire Scene,"3 fires, person","3 fire regions, 1 person",,0.82
IMG_058,Fire Scene,fire,1 fire region,,0.98
IMG_059,Fire Scene,fire,1 fire region,,0.91
IMG_060,Fire Scene,"fire, smoke","1 fire region, 1 smoke plume",,0.98
IMG_061,Vehicle Accident,"person, truck","1 person, 1 vehicle",,0.95
IMG_062,General Scene,"11 chairs, refrigerator, dining table","11 chairs, 1 refrigerator, 1 dining table",,0.46
IMG_063,Fire Scene,"smoke, book","1 smoke plume, 1 book",( all ae,0.38
IMG_064,Fire Scene,"2 fires, smoke","2 fire regions, 1 smoke plume",,0.96
IMG_065,Fire Scene,clock,1 clock,LLL SEPETT ity,0.73
IMG_066,Fire Scene,"fire, smoke","1 fire region, 1 smoke plume",,0.41
IMG_067,General Scene,8 bottles,8 bottles,"La PNC procedid a evacuar a la gente que transitaba por la zona,",0.4
IMG_068,Public Disturbance,person,1 person,,0.78
IMG_069,Fire Scene,2 fires,2 fire regions,,0.54
IMG_070,Fire Scene,2 fires,2 fire regions,,0.94
IMG_071,Fire Scene,2 smokes,2 smoke plumes,,0.68
IMG_072,Fire Scene,"fire, 2 smokes","1 fire region, 2 smoke plumes",,0.97
IMG_073,Emergency Response,"chair, 2 cars","1 chair, 2 vehicles",,0.39
IMG_074,Fire Scene,"fire, 2 smokes","1 fire region, 2 smoke plumes",,0.96
IMG_075,Fire Scene,"fire, smoke","1 fire region, 1 smoke plume",,0.96
IMG_076,Fire Scene,fire,1 fire region,,0.75
IMG_077,Theft / Robbery,person,1 person,,0.72
IMG_078,Fire Scene,"2 fires, refrigerator","2 fire regions, 1 refrigerator",,0.73
IMG_079,Vehicle Accident,"smoke, car, truck","1 smoke plume, 1 vehicle, 1 vehicle",Wie Dom Niced No Se nee Thee Mote. ie rok 2 @peyencone ——,0.6
IMG_080,Fire Scene,"fire, 5 smokes, airplane","1 fire region, 5 smoke plumes, 1 airplane",,0.85
IMG_081,Fire Scene,"fire, smoke","1 fire region, 1 smoke plume",,0.97
IMG_082,Vehicle Accident,"2 fires, smoke, truck","2 fire regions, 1 smoke plume, 1 vehicle",,0.78
IMG_083,General Scene,"2 chairs, 5 dining tables, clock","2 chairs, 5 dining tables, 1 clock",,0.43
IMG_084,Fire Scene,none detected,none,,0.02
IMG_085,Fire Scene,fire,1 fire region,,0.97
IMG_086,Vehicle Accident,"3 trucks, 4 cars, 2 buss","3 vehicles, 4 vehicles, 2 vehicles",,0.35
IMG_087,Fire Scene,none detected,none,other,0.04
IMG_088,General Scene,none detected,none,,0.33
IMG_089,Fire Scene,fire,1 fire region,,0.69
IMG_090,Fire Scene,2 fires,2 fire regions,,0.97
IMG_091,General Scene,3 chairs,3 chairs,,0.8
IMG_092,Fire Scene,2 persons,2 persons,,0.41
IMG_093,Fire Scene,"fire, person","1 fire region, 1 person",,0.94
IMG_094,Vehicle Accident,"person, 3 traffic lights, bottle","1 person, 3 traffic lights, 1 bottle",,0.52
IMG_095,Fire Scene,"fire, 2 smokes","1 fire region, 2 smoke plumes",,0.39
IMG_096,Fire Scene,"3 fires, smoke","3 fire regions, 1 smoke plume",,0.94
IMG_097,Fire Scene,"3 fires, smoke","3 fire regions, 1 smoke plume",,0.3
IMG_098,Vehicle Accident,"fire, smoke","1 fire region, 1 smoke plume",,0.95
IMG_099,Fire Scene,"smoke, 2 persons, truck","1 smoke plume, 2 persons, 1 vehicle",,0.44
IMG_100,Fire Scene,person,1 person,,0.27
