Text_ID,Source,Raw_Text,Sentiment,Entities,Topic,Crime_Type,Location_Entity,Severity_Label
TXT_001,CrimeReport,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Police search in the area; traffic stopped",Negative,No key entities found,Shooting,Shooting,"Hoover, AL",High
TXT_002,CrimeReport,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacle Church. http://t.co/X67i7jajij,Negative,Orgs: Word Tabernacle Church,Shooting,Shooting,Unknown,High
TXT_003,CrimeReport,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes,Negative,Locations: Chicago,Law Enforcement / Policing,Law Enforcement / Policing,Chicago,Low
TXT_004,CrimeReport,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96jCNY3wV #patriots #liberty,Negative,Orgs: New NRA Advice,Law Enforcement / Policing,Law Enforcement / Policing,Unknown,Low
TXT_005,CrimeReport,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and murder http://t.co/SLuXLgbQbU",Negative,Orgs: FGM,Law Enforcement / Policing,Law Enforcement / Policing,Unknown,Low
TXT_006,CrimeReport,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/w7ft9HW4Vx",Negative,No key entities found,Law Enforcement / Policing,Law Enforcement / Policing,Unknown,Low
TXT_007,CrimeReport,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl",Negative,Orgs: Town of Tonawanda Police Search for Bank Robbery Suspect,Robbery / Theft,Robbery / Theft,Unknown,Medium
TXT_008,CrimeReport,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. http://t.co/6Ld0Zs9h29 ^ws",Negative,Locations: Pakistan,Assault / Violence,Assault / Violence,Pakistan,Medium
TXT_009,CrimeReport,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ75Did,Negative,Orgs: New NRA Advice,Law Enforcement / Policing,Law Enforcement / Policing,Unknown,Low
TXT_010,CrimeReport,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimore. @baltimoresun http://t.co/A0TRUflAYl,Positive,Persons: Commish Batts; Locations: Baltimore,Drug Crime,Drug Crime,Baltimore,Medium
